# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2020-12-31 DOY:366
# through 2021-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2020
# start_doy: 366
# end_year: 2021
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459218.812500	2021	4	2021.0090753	1.333	0.765	1.000	3.1271e-02	3.1082e-02	3.1792e-02	1.6225e-02	2.7808e-02	1.5966e-02	2.7476e-02	1.6461e-02	2.8218e-02
2459218.854166	2021	4	2021.0091895	1.333	0.752	1.000	3.2399e-02	3.0927e-02	3.0695e-02	1.7826e-02	2.7415e-02	1.6119e-02	2.6760e-02	1.5500e-02	2.7130e-02
2459218.895833	2021	4	2021.0093037	1.333	0.768	1.000	3.2167e-02	3.0576e-02	3.3421e-02	1.7424e-02	2.8387e-02	1.5399e-02	2.7435e-02	1.7873e-02	2.8907e-02
2459218.937500	2021	4	2021.0094178	1.333	0.749	1.000	3.1224e-02	3.0183e-02	3.0485e-02	1.6705e-02	2.7973e-02	1.5452e-02	2.6677e-02	1.5313e-02	2.7265e-02
2459218.979166	2021	4	2021.0095320	1.333	0.771	1.000	3.1055e-02	3.0059e-02	3.0919e-02	1.5952e-02	2.8222e-02	1.4855e-02	2.7681e-02	1.5581e-02	2.7607e-02
2459219.020833	2021	4	2021.0096461	1.333	0.746	1.000	3.2124e-02	3.4010e-02	3.1858e-02	1.7395e-02	2.7894e-02	1.9369e-02	2.7088e-02	1.6801e-02	2.7724e-02
2459219.062500	2021	4	2021.0097603	1.333	0.775	1.000	3.2175e-02	3.0569e-02	3.0893e-02	1.7279e-02	2.8596e-02	1.5515e-02	2.7522e-02	1.5452e-02	2.8162e-02
2459219.104166	2021	4	2021.0098744	1.333	0.744	1.000	3.1655e-02	3.0158e-02	3.1183e-02	1.6806e-02	2.7783e-02	1.5479e-02	2.6835e-02	1.6075e-02	2.7243e-02
2459219.145833	2021	4	2021.0099886	1.333	0.778	1.000	3.1686e-02	3.1076e-02	3.1111e-02	1.6557e-02	2.8829e-02	1.5611e-02	2.7424e-02	1.5597e-02	2.8664e-02
2459219.187500	2021	4	2021.0101027	1.333	0.742	1.000	3.1695e-02	3.1469e-02	3.0741e-02	1.6901e-02	2.7920e-02	1.6683e-02	2.7205e-02	1.5664e-02	2.7346e-02
