"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
580.5173101,74413,580.5173101,91478,580.5173101,0,580.5173101,2829,580.5173101,0,
585.5344248,76185,585.5344248,95253,585.5344248,0,585.5344248,2934,585.5344248,0,
590.534245,75510,590.534245,93007,590.534245,0,590.534245,2883,590.534245,0,
595.5407302,75088,595.5407302,92125,595.5407302,0,595.5407302,2993,595.5407302,0,
647.234426,66503,647.234426,82095,647.234426,0,647.234426,2584,647.234426,0,
652.2500515,66056,652.2500515,81137,652.2500515,0,652.2500515,2457,652.2500515,0,
657.2510643,67065,657.2510643,83637,657.2510643,0,657.2510643,2506,657.2510643,0,
662.2512441,67726,662.2512441,84691,662.2512441,0,662.2512441,2519,662.2512441,0,
667.2529576,67473,667.2529576,84226,667.2529576,0,667.2529576,2546,667.2529576,0,
672.2512603,67779,672.2512603,83865,672.2512603,0,672.2512603,2539,672.2512603,0,
677.256865,67840,677.256865,86283,677.256865,0,677.256865,2505,677.256865,0,
682.2674637,66928,682.2674637,83597,682.2674637,0,682.2674637,2523,682.2674637,0,
687.2742455,68209,687.2742455,85093,687.2742455,0,687.2742455,2504,687.2742455,0,
692.2845576,68633,692.2845576,85449,692.2845576,0,692.2845576,2547,692.2845576,0,
717.3742616,65201,717.3742616,79637,717.3742616,0,717.3742616,2314,717.3742616,0,
722.38465,59509,722.38465,74302,722.38465,0,722.38465,2138,722.38465,0,
727.3999994,59151,727.3999994,73373,727.3999994,0,727.3999994,2321,727.3999994,0,
732.4059286,57860,732.4059286,70673,732.4059286,0,732.4059286,2254,732.4059286,0,
737.4177802,56793,737.4177802,70529,737.4177802,0,737.4177802,2223,737.4177802,0,
742.4347081,57172,742.4347081,70418,742.4347081,0,742.4347081,2287,742.4347081,0,
747.4345028,57239,747.4345028,70923,747.4345028,0,747.4345028,2220,747.4345028,0,
752.4350595,57936,752.4350595,71510,752.4350595,0,752.4350595,2212,752.4350595,0,
757.4345279,57065,757.4345279,71292,757.4345279,0,757.4345279,2173,757.4345279,0,
762.43433,57432,762.43433,70960,762.43433,0,762.43433,2168,762.43433,0,
767.4509084,57331,767.4509084,71127,767.4509084,0,767.4509084,2319,767.4509084,0,
772.4680955,57551,772.4680955,70600,772.4680955,0,772.4680955,2167,772.4680955,0,
797.3875737,66971,797.3875737,105970,797.3875737,0,797.3875737,1939,797.3875737,0,
802.4013834,47179,802.4013834,58884,802.4013834,0,802.4013834,1728,802.4013834,0,
807.4209127,47109,807.4209127,59627,807.4209127,0,807.4209127,1706,807.4209127,0,
812.4413626,49009,812.4413626,64063,812.4413626,0,812.4413626,1871,812.4413626,0,
817.4342656,46201,817.4342656,57839,817.4342656,0,817.4342656,1703,817.4342656,0,
822.4410825,45482,822.4410825,56113,822.4410825,0,822.4410825,1700,822.4410825,0,
827.4347792,46149,827.4347792,56230,827.4347792,0,827.4347792,1760,827.4347792,0,
832.4510481,45260,832.4510481,55684,832.4510481,0,832.4510481,1747,832.4510481,0,
837.451113,44761,837.451113,54947,837.451113,0,837.451113,1779,837.451113,0,
842.4744446,45002,842.4744446,54493,842.4744446,0,842.4744446,1727,842.4744446,0,
847.4514368,44691,847.4514368,55026,847.4514368,0,847.4514368,1691,847.4514368,0,
852.4682229,44678,852.4682229,54945,852.4682229,0,852.4682229,1674,852.4682229,0,
857.4841888,45112,857.4841888,54810,857.4841888,0,857.4841888,1737,857.4841888,0,
906.0681829,41295,906.0681829,54987,906.0681829,0,906.0681829,1200,906.0681829,0,
911.0579357,35025,911.0579357,43515,911.0579357,0,911.0579357,1192,911.0579357,0,
916.0678692,55636,916.0678692,100974,916.0678692,0,916.0678692,1234,916.0678692,0,
921.0682395,33866,921.0682395,43238,921.0682395,0,921.0682395,1177,921.0682395,0,
926.0745625,31553,926.0745625,38705,926.0745625,0,926.0745625,1156,926.0745625,0,
931.084985,31607,931.084985,38643,931.084985,0,931.084985,1221,931.084985,0,
936.0845923,31628,936.0845923,38087,936.0845923,0,936.0845923,1154,936.0845923,0,
941.0846367,31808,941.0846367,38381,941.0846367,0,941.0846367,1211,941.0846367,0,
946.0909429,31766,946.0909429,38618,946.0909429,0,946.0909429,1179,946.0909429,0,
951.1016941,31684,951.1016941,38605,951.1016941,0,951.1016941,1205,951.1016941,0,
956.107971,31611,956.107971,38519,956.107971,0,956.107971,1188,956.107971,0,
961.1175497,31348,961.1175497,38076,961.1175497,0,961.1175497,1147,961.1175497,0,
1010.718389,50382,1010.718389,68506,1010.718389,0,1010.718389,496,1010.718389,0,
1015.734717,20024,1015.734717,23923,1015.734717,0,1015.734717,705,1015.734717,0,
1020.734558,19547,1020.734558,23527,1020.734558,0,1020.734558,735,1020.734558,0,
1025.735163,19528,1025.735163,23523,1025.735163,0,1025.735163,643,1025.735163,0,
1030.735025,19785,1030.735025,23409,1030.735025,0,1030.735025,676,1030.735025,0,
1035.741118,20004,1035.741118,23378,1035.741118,0,1035.741118,684,1035.741118,0,
1040.74121,19796,1040.74121,23344,1040.74121,0,1040.74121,666,1040.74121,0,
1045.741408,19605,1045.741408,23626,1045.741408,0,1045.741408,694,1045.741408,0,
1050.747899,19742,1050.747899,23393,1050.747899,0,1050.747899,697,1050.747899,0,
1055.751379,19682,1055.751379,23515,1055.751379,0,1055.751379,676,1055.751379,0,
1060.768308,19561,1060.768308,23364,1060.768308,0,1060.768308,704,1060.768308,0,
